status_message,word_counts,char_counts
Vamos tomar chopp hoje😍,4,20
"Todo mundo curte um hot roll. E quem negar, mentiu. 😎 

Abrimos às 18h00!
🎌 Batista Campos - Rua dos Pariquis, 1712
🎌 Av. Senador Lemos, 356 🎌 Av. Duque de Caxias, 510 
Delivery:
2121-4463",35,151
Mesa cheia é mesa alegre!,5,21
Nosso Filé com Molho de Vinho é fabuloso! Ele ainda acompanha um delicioso risoto de funghi. Venha apreciar os sabores do Vegas! #VegasRestaurante #VivaVegas,24,134
"Daqui a pouco tem Malino’s Hein!
🍔🍺🍟😍",7,31
"Você sabia que além de hambúrgueres,temos também Coquetel de Fruta😲
Isso mesmo, então vc já sabe☺☺☺",16,84
"Que esse é um dos pratos mais famosos e respeitados aqui em Belém, todos já sabem. Mas só dá para descobrir o motivo provando. Venha experimentar o Vatapá do Point e se surpreenda! 😉 👏 👌

👉 Point Aquários
- Municipalidade, nº 897, esquina da Wandenkolk.
- (91) 3223-1686 / 3085-7229.
- Domingo – 8h às 17h. Segunda a sábado – 8h às 22h30.",64,274
"30ª ED. DO T.D.O. (Tributo Duplo Oficial)
LEGIÃO URBANA E CHARLIE BROWN JR

Há cerca de 5 anos, Chorão e Champignon, dois ícones da geração 90, foram fazer um som no plano superior. E com uma enxurrada de mensagens via face, insta e zap, a galera pediu que essa cabalística 30ª edição do T.D.O. traga logo os caras do CBJR Cover pra mandar os hits e lados B do CHARLIE BROWN JR. E claro, tem também a TomaRock fazendo sua já tradicional reverência à oitentista LEGIÃO URBANA, botando a galera pra cantar e pular do início ao fim da noite. E entre as bandas, o set matador do DJ Junior Beats, fazendo o Studio Pub ferver!

O quê? Ainda não foste em nenhuma edição da festa? Procura saber com a galera sobre as anteriores e se liga nas promos que ainda dá tempo. São 3 p*ta atrações por preços promocionais (de verdade):

INGRESSOS
Primeiro lote: R$ 15,00
Segundo lote: R$ 20,00
Terceiro lote: R$ 30,00

Ingressos à venda na bilheteria do Studio Pub (Pres Pernambuco, 277, no início da Gentil), de terça a sábado, a partir das 18h.

Dúvidas? StudioPubWhatsApp
(91) 99161-3677",192,877
"Comente #EU QUERO e Ganhe uma mesa + lista de 20 amigos GRÁTIS.

Sexta. Inauguração Sambôtequim
• Nosso tom: Sorriso moleque: Vaguinho Db: Resenha: De Bobeira.
• 03 horas de open bar e balde RS20 a noite toda.

Sorteio sexta as 10h
informações 98968-3496/98146-5107",44,220
Quinta é um ótimo dia para estar aqui conosco e ter o melhor almoço da cidade.,16,63
Preparados para o maior St Patrick’s Day da Cidade??? Garanta seu ingresso !!! #StudioPubBelem,14,81
"Sentiram falta do velho rock N’ roll nacional? A gente entende! Prepare as distorções para essa noite porque as bandas Alta Frequência e Rock N’ Trio, que vão relembrar os melhores sucessos das bandas Detonautas, Raimundos, O Rappa e CPM 22! Um tributo especial para músicas inesquecíveis!
.
Ingressos:
Antecipados: R$15
.
Onde comprar:
Studio Pub - Tv. Presidente Pernambuco, 277.
De terça à sexta, a partir das 18h.
.
Entrada exclusiva para maiores de 18 anos, sendo obrigatório apresentação de documento oficial e com foto.
.
OBS.: Não aceitaremos mais identidades com foto de criança ou manchadas por conta da dificuldade de identificação.
.
Mais informações:
Tel: 3252-1413 / 91 99161-3677
Instagram: @studiopubbelem | Facebook: studiopubbelem",117,632
"Aproveite os sabores do Capone Ristorante, com o buffet de almoço e nosso menu à la carte no jantar.

#caponeristorante #estaçãodasdocas #",22,116
